iter	Passed	Remaining
0	7	696
1	15	757
2	25	827
3	35	842
4	45	866
5	56	880
6	68	915
7	84	973
8	95	965
9	103	932
10	109	889
11	117	859
12	124	834
13	132	811
14	138	784
15	146	770
16	153	747
17	160	732
18	168	716
19	175	700
20	182	685
21	189	670
22	195	655
23	201	638
24	206	620
25	211	602
26	216	585
27	221	569
28	226	554
29	231	539
30	236	525
31	240	512
32	245	498
33	250	486
34	255	474
35	260	463
36	265	452
37	287	468
38	326	510
39	336	504
40	344	495
41	353	488
42	362	480
43	371	472
44	384	470
45	392	460
46	400	451
47	406	440
48	412	429
49	417	417
50	422	405
51	427	394
52	432	383
53	437	372
54	441	361
55	446	350
56	451	340
57	456	330
58	461	320
59	466	310
60	471	301
61	475	291
62	480	282
63	488	274
64	492	265
65	497	256
66	502	247
67	507	238
68	512	230
69	517	221
70	522	213
71	527	205
72	532	196
73	536	188
74	541	180
75	546	172
76	551	164
77	556	156
78	560	149
79	565	141
80	570	133
81	575	126
82	580	118
83	585	111
84	592	104
85	598	97
86	605	90
87	612	83
88	619	76
89	627	69
90	633	62
91	640	55
92	647	48
93	655	41
94	661	34
95	665	27
96	671	20
97	675	13
98	680	6
99	686	0
